Oct  9, 2025 15:21:50.978562000 +08	10.45.0.27	8.8.8.8		119
Oct  9, 2025 15:21:50.992861000 +08	8.8.8.8	10.45.0.27		119
Oct  9, 2025 15:21:51.197381000 +08	10.45.0.27	8.8.8.8		60
Oct  9, 2025 15:21:51.214987000 +08	8.8.8.8	10.45.0.27		60
Oct  9, 2025 15:21:51.431421000 +08	10.45.0.27	8.8.8.8		67
Oct  9, 2025 15:21:51.449096000 +08	8.8.8.8	10.45.0.27		67
Oct  9, 2025 15:21:51.623340000 +08	10.45.0.27	8.8.8.8		66
Oct  9, 2025 15:21:51.644780000 +08	8.8.8.8	10.45.0.27		66
Oct  9, 2025 15:21:51.841500000 +08	10.45.0.27	8.8.8.8		84
Oct  9, 2025 15:21:51.861232000 +08	8.8.8.8	10.45.0.27		84
Oct  9, 2025 15:21:52.046934000 +08	10.45.0.27	8.8.8.8		70
Oct  9, 2025 15:21:52.068265000 +08	8.8.8.8	10.45.0.27		70
Oct  9, 2025 15:21:52.305100000 +08	10.45.0.27	8.8.8.8		64
Oct  9, 2025 15:21:52.329241000 +08	8.8.8.8	10.45.0.27		64
Oct  9, 2025 15:21:52.519391000 +08	10.45.0.27	8.8.8.8		86
Oct  9, 2025 15:21:52.538336000 +08	8.8.8.8	10.45.0.27		86
Oct  9, 2025 15:21:52.662261000 +08	10.45.0.27	8.8.8.8		71
Oct  9, 2025 15:21:52.685146000 +08	8.8.8.8	10.45.0.27		71
Oct  9, 2025 15:21:52.882960000 +08	10.45.0.27	8.8.8.8		88
Oct  9, 2025 15:21:52.908104000 +08	8.8.8.8	10.45.0.27		88
Oct  9, 2025 15:21:53.103649000 +08	10.45.0.27	8.8.8.8		76
Oct  9, 2025 15:21:53.120637000 +08	8.8.8.8	10.45.0.27		76
Oct  9, 2025 15:21:53.298972000 +08	10.45.0.27	8.8.8.8		69
Oct  9, 2025 15:21:53.318245000 +08	8.8.8.8	10.45.0.27		69
Oct  9, 2025 15:21:53.538634000 +08	10.45.0.27	8.8.8.8		102
Oct  9, 2025 15:21:53.563234000 +08	8.8.8.8	10.45.0.27		102
Oct  9, 2025 15:21:53.777275000 +08	10.45.0.27	8.8.8.8		112
Oct  9, 2025 15:21:53.794705000 +08	8.8.8.8	10.45.0.27		112
Oct  9, 2025 15:21:53.890775000 +08	10.45.0.27	8.8.8.8		70
Oct  9, 2025 15:21:53.918827000 +08	8.8.8.8	10.45.0.27		70
Oct  9, 2025 15:21:54.092741000 +08	10.45.0.27	8.8.8.8		89
Oct  9, 2025 15:21:54.108020000 +08	8.8.8.8	10.45.0.27		89
Oct  9, 2025 15:21:54.330142000 +08	10.45.0.27	8.8.8.8		88
Oct  9, 2025 15:21:54.363299000 +08	8.8.8.8	10.45.0.27		88
Oct  9, 2025 15:21:54.486787000 +08	10.45.0.27	8.8.8.8		96
Oct  9, 2025 15:21:54.521590000 +08	8.8.8.8	10.45.0.27		96
Oct  9, 2025 15:21:54.736441000 +08	10.45.0.27	8.8.8.8		64
Oct  9, 2025 15:21:54.763131000 +08	8.8.8.8	10.45.0.27		64
Oct  9, 2025 15:21:54.998148000 +08	10.45.0.27	8.8.8.8		70
Oct  9, 2025 15:21:55.014676000 +08	8.8.8.8	10.45.0.27		70
Oct  9, 2025 15:21:55.129912000 +08	10.45.0.27	8.8.8.8		79
Oct  9, 2025 15:21:55.163304000 +08	8.8.8.8	10.45.0.27		79
Oct  9, 2025 15:21:55.348116000 +08	10.45.0.27	8.8.8.8		84
Oct  9, 2025 15:21:55.363143000 +08	8.8.8.8	10.45.0.27		84
Oct  9, 2025 15:21:55.602136000 +08	10.45.0.27	8.8.8.8		106
Oct  9, 2025 15:21:55.630923000 +08	8.8.8.8	10.45.0.27		106
Oct  9, 2025 15:21:55.842105000 +08	10.45.0.27	8.8.8.8		72
Oct  9, 2025 15:21:55.860552000 +08	8.8.8.8	10.45.0.27		72
Oct  9, 2025 15:21:56.105484000 +08	10.45.0.27	8.8.8.8		122
Oct  9, 2025 15:21:56.134853000 +08	8.8.8.8	10.45.0.27		122
Oct  9, 2025 15:21:56.351151000 +08	10.45.0.27	8.8.8.8		83
Oct  9, 2025 15:21:56.370974000 +08	8.8.8.8	10.45.0.27		83
Oct  9, 2025 15:21:56.551120000 +08	10.45.0.27	8.8.8.8		121
Oct  9, 2025 15:21:56.569151000 +08	8.8.8.8	10.45.0.27		121
